Location ID,Field Sample ID,Start Depth,End Depth,Parameter Name,Report Result,Report Units,Lab Qualifier,Validation Qualifier,Leached,Detected,Ground Elevation,Date Sampled,Sample Matrix,Filtered,Sample Purpose,Location Group Name
S2604,S2604B3,3,3.5,Lead,7.98,mg/kg,,,N,Y,8.2,2/20/2009,SOIL,N,REG,Example Area
S2604,S2604B3,3,3.5,Arsenic,4.55,mg/kg,,,N,Y,8.2,2/20/2009,SOIL,N,REG,Example Area
S2604,S2604C4,5.5,6,Benzo(a)Pyrene,0.041,mg/kg,U,U,N,N,8.2,2/20/2009,SOIL,N,REG,Example Area
S2604,S2604C4,5.5,6,Benzene,0.17,mg/kg,J,J,N,Y,8.2,2/20/2009,SOIL,N,REG,Example Area
S2604,S2604C4,5.5,6,Lead,13.4,mg/kg,,,N,Y,8.2,2/20/2009,SOIL,N,REG,Example Area
S2604,S2604C4,5.5,6,Arsenic,9.04,mg/kg,,,N,Y,8.2,2/20/2009,SOIL,N,REG,Example Area
S2605,S2605D4,7.5,8,Benzo(a)Pyrene,0.038,mg/kg,U,U,N,N,8.1,2/23/2009,SOIL,N,REG,Example Area
S2605,S2605D4,7.5,8,Benzene,0.12,mg/kg,J,J,N,Y,8.1,2/23/2009,SOIL,N,REG,Example Area
S2605,S2605D4,7.5,8,Lead,8.13,mg/kg,,,N,Y,8.1,2/23/2009,SOIL,N,REG,Example Area
S2605,S2605D4,7.5,8,Arsenic,3.07,mg/kg,,,N,Y,8.1,2/23/2009,SOIL,N,REG,Example Area
S2605,S2605F3,11,11.5,Benzo(a)Pyrene,0.039,mg/kg,U,U,N,N,8.1,2/23/2009,SOIL,N,REG,Example Area
S2605,S2605F3,11,11.5,Benzene,0.072,mg/kg,U,U,N,N,8.1,2/23/2009,SOIL,N,REG,Example Area
S2605,S2605F3,11,11.5,Lead,4.53,mg/kg,,,N,Y,8.1,2/23/2009,SOIL,N,REG,Example Area
S2605,S2605F3,11,11.5,Arsenic,1.84,mg/kg,J,J,N,Y,8.1,2/23/2009,SOIL,N,REG,Example Area
S2661,S2661A2,0.5,1,Lead,5590,mg/kg,,,N,Y,7.34,5/15/2012,SOIL,N,REG,Example Area
S2661,S2661E2,8.5,9,Lead,8.84,mg/kg,,,N,Y,7.34,5/15/2012,SOIL,N,REG,Example Area
S2661,S2661D3,7,7.5,Lead,143,mg/kg,,,N,Y,7.34,5/16/2012,SOIL,N,REG,Example Area
S2661,S2661D3,7,7.5,Lead,2.2,ug/l,U,U,Y,N,7.34,5/16/2012,SOIL,N,REG,Example Area
S2661,S2661D3,7,7.5,Lead,350,ug/l,,,Y,Y,7.34,5/16/2012,SOIL,N,REG,Example Area
S2661,S2661A1,0,0.5,Lead,536000,ug/l,,,Y,Y,7.34,5/16/2012,SOIL,N,REG,Example Area
S2662,S2662D1,6,6.5,Lead,35.1,mg/kg,,,N,Y,7.88,5/11/2012,SOIL,N,REG,Example Area
S2662,S2662A4,1.5,2,Lead,1320,mg/kg,,,N,Y,7.88,5/14/2012,SOIL,N,REG,Example Area
S2662,S2662A4,1.5,2,Lead,5.9,ug/l,J,J,Y,Y,7.88,5/14/2012,SOIL,N,REG,Example Area
S2662,S2662A4,1.5,2,Lead,52600,ug/l,,,Y,Y,7.88,5/14/2012,SOIL,N,REG,Example Area
S2663,S2663E4,9.5,10,Lead,9.16,mg/kg,,,N,Y,7.27,5/15/2012,SOIL,N,REG,Example Area
S2663,D0515123,9.5,10,Lead,10.3,mg/kg,,,N,Y,7.27,5/15/2012,SOIL,N,FD,Example Area
S2663,S2663A3,1,1.5,Lead,20500,mg/kg,,,N,Y,7.27,5/16/2012,SOIL,N,REG,Example Area
S2663,S2663A3,1,1.5,Lead,147000,ug/l,,,Y,Y,7.27,5/16/2012,SOIL,N,REG,Example Area
S2663,S2663D3,7,7.5,Lead,162,mg/kg,,,N,Y,7.27,5/16/2012,SOIL,N,REG,Example Area
S2663,S2663D3,7,7.5,Lead,93.7,ug/l,,,Y,Y,7.27,5/16/2012,SOIL,N,REG,Example Area
S2663,S2663D3,7,7.5,Lead,1420,ug/l,,,Y,Y,7.27,5/16/2012,SOIL,N,REG,Example Area
S2664,S2664D2,6.5,7,Lead,48.4,mg/kg,,,N,Y,8.1,5/15/2012,SOIL,N,REG,Example Area
S2665,S2665B1,2,2.5,Lead,1930,mg/kg,,,N,Y,7.55,5/15/2012,SOIL,N,REG,Example Area
S2665,S2665B1,2,2.5,Lead,2.5,ug/l,J,J,Y,Y,7.55,5/15/2012,SOIL,N,REG,Example Area
S2665,S2665B1,2,2.5,Lead,3230,ug/l,,,Y,Y,7.55,5/15/2012,SOIL,N,REG,Example Area
S2665,S2665B2,2.5,3,Lead,26.6,mg/kg,,,N,Y,7.55,5/15/2012,SOIL,N,REG,Example Area
S2666,S2666B3,3,3.5,Lead,41.5,mg/kg,,,N,Y,8.32,5/15/2012,SOIL,N,REG,Example Area
S2667,S2667B3,3,3.5,Lead,47.4,mg/kg,,,N,Y,8.89,5/15/2012,SOIL,N,REG,Example Area
S2668,S2668B1,2,2.5,Lead,24,mg/kg,,,N,Y,8.29,5/15/2012,SOIL,N,REG,Example Area
S2669,S2669B3,3,3.5,Lead,58.3,mg/kg,,,N,Y,6.91,5/11/2012,SOIL,N,REG,Example Area
S2669,S2669D4,7.5,8,Lead,16.9,mg/kg,,,N,Y,6.91,5/11/2012,SOIL,N,REG,Example Area
S2669,S2669A1,0,0.5,Lead,1460,mg/kg,,,N,Y,6.91,5/14/2012,SOIL,N,REG,Example Area
S2669,S2669A1,0,0.5,Lead,2.2,ug/l,U,U,Y,N,6.91,5/14/2012,SOIL,N,REG,Example Area
S2669,S2669A1,0,0.5,Lead,5010,ug/l,,,Y,Y,6.91,5/14/2012,SOIL,N,REG,Example Area
S2669,D051420123,0,0.5,Lead,2120,mg/kg,,,N,Y,6.91,5/14/2012,SOIL,N,FD,Example Area
S2670,S2670B3,3,3.5,Lead,42.7,mg/kg,,,N,Y,6.84,5/11/2012,SOIL,N,REG,Example Area
S2670,S2670A1,0,0.5,Lead,1400,mg/kg,,,N,Y,6.84,5/14/2012,SOIL,N,REG,Example Area
S2670,S2670A1,0,0.5,Lead,3.5,ug/l,J,J,Y,Y,6.84,5/14/2012,SOIL,N,REG,Example Area
S2670,S2670A1,0,0.5,Lead,2900,ug/l,,,Y,Y,6.84,5/14/2012,SOIL,N,REG,Example Area
S2670,S2670A4,1.5,2,Lead,111,mg/kg,,,N,Y,6.84,5/14/2012,SOIL,N,REG,Example Area
S2670,S2670A4,1.5,2,Tetraethyl-lead,0.045,mg/kg,U,U,N,N,6.84,5/14/2012,SOIL,N,REG,Example Area
S2671,S2671E1,8,8.5,Lead,15.5,mg/kg,,,N,Y,6.56,5/11/2012,SOIL,N,REG,Example Area
S2671,S2671A1,0,0.5,Lead,3210,mg/kg,,,N,Y,6.56,5/14/2012,SOIL,N,REG,Example Area
S2671,S2671A1,0,0.5,Lead,13700,ug/l,,,Y,Y,6.56,5/14/2012,SOIL,N,REG,Example Area
S2671,S2671A2,0.5,1,Lead,2640,mg/kg,,,N,Y,6.56,5/14/2012,SOIL,N,REG,Example Area
S2671,S2671A2,0.5,1,Lead,2040,ug/l,,,Y,Y,6.56,5/14/2012,SOIL,N,REG,Example Area
S2671,S2671A2,0.5,1,Lead,16400,ug/l,,,Y,Y,6.56,5/14/2012,SOIL,N,REG,Example Area
S2671,S2671T,,,Lead,3010,mg/kg,,J,N,Y,6.56,9/10/2014,SOIL,N,REG,Example Area
S2671,S2671T,,,Lead,3000,ug/l,,,Y,Y,6.56,9/10/2014,SOIL,N,REG,Example Area
S2671,S2671TL,,,Lead,3370,mg/kg,,,N,Y,6.56,9/11/2014,SOIL,N,REG,Example Area
S2671,S2671TL,,,Lead,374,ug/l,,,Y,Y,6.56,9/11/2014,SOIL,N,REG,Example Area
S2671,S2671TL2,,,Lead,69.3,ug/l,,,Y,Y,6.56,9/11/2014,SOIL,N,REG,Example Area
S2672,S2672D3,7,7.5,Lead,14.4,mg/kg,,,N,Y,6.57,5/11/2012,SOIL,N,REG,Example Area
S2672,S2672A3,1,1.5,Lead,1640,mg/kg,,,N,Y,6.57,5/14/2012,SOIL,N,REG,Example Area
S2672,S2672A3,1,1.5,Lead,2.2,ug/l,U,U,Y,N,6.57,5/14/2012,SOIL,N,REG,Example Area
S2672,S2672A3,1,1.5,Lead,3660,ug/l,,,Y,Y,6.57,5/14/2012,SOIL,N,REG,Example Area
S2673,S2673A1,0,0.5,Lead,1420,mg/kg,,,N,Y,6.01,5/14/2012,SOIL,N,REG,Example Area
S2673,S2673A1,0,0.5,Lead,2.2,ug/l,U,U,Y,N,6.01,5/14/2012,SOIL,N,REG,Example Area
S2673,S2673A1,0,0.5,Lead,6460,ug/l,,,Y,Y,6.01,5/14/2012,SOIL,N,REG,Example Area
S2673,S2673D3,7,7.5,Lead,9.58,mg/kg,,,N,Y,6.01,5/14/2012,SOIL,N,REG,Example Area
S2729,S2729B4,3.5,4,Benzo(a)Pyrene,0.11,mg/kg,J,J,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729B4,3.5,4,Benzene,0.031,mg/kg,J,J,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729B4,3.5,4,Lead,61.5,mg/kg,,,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729B4,3.5,4,Arsenic,18.8,mg/kg,,,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729C2,4.5,5,Benzo(a)Pyrene,0.092,mg/kg,J,J,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729C2,4.5,5,Benzene,0.22,mg/kg,J,J,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729C2,4.5,5,Lead,125,mg/kg,,,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729C2,4.5,5,Arsenic,16.3,mg/kg,,,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729D4,7.5,8,Benzo(a)Pyrene,0.096,mg/kg,U,U,N,N,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729D4,7.5,8,Benzene,2.7,mg/kg,,,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729D4,7.5,8,Lead,41.6,mg/kg,,,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2729,S2729D4,7.5,8,Arsenic,32.9,mg/kg,,,N,Y,6,10/22/2012,SOIL,N,REG,Example Area
S2827,S2827A2,0.5,1,Benzo(a)Pyrene,1.3,mg/kg,,,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827A2,0.5,1,Benzene,0.0005,mg/kg,U,U,N,N,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827A2,0.5,1,Lead,122,mg/kg,,J,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827A2,0.5,1,Arsenic,9.59,mg/kg,,J,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827A4,1.5,2,Benzo(a)Pyrene,2,mg/kg,,,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827A4,1.5,2,Benzene,0.32,mg/kg,,,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827A4,1.5,2,Lead,204,mg/kg,,,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827A4,1.5,2,Arsenic,40.1,mg/kg,,,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827C2,4.5,5,Benzo(a)Pyrene,0.011,mg/kg,J,J,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827C2,4.5,5,Benzene,0.0006,mg/kg,U,U,N,N,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827C2,4.5,5,Lead,11.4,mg/kg,,,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2827,S2827C2,4.5,5,Arsenic,3.64,mg/kg,,,N,Y,6.44,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828A1,0,0.5,Benzo(a)Pyrene,0.51,mg/kg,,,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828A1,0,0.5,Benzene,0.002,mg/kg,J,J,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828A1,0,0.5,Lead,561,mg/kg,,,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828A1,0,0.5,Arsenic,14.6,mg/kg,,,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828B1,2,2.5,Benzo(a)Pyrene,1.2,mg/kg,,,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828B1,2,2.5,Benzene,0.051,mg/kg,J,J,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828B1,2,2.5,Lead,24.3,mg/kg,,,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828B1,2,2.5,Arsenic,2.74,mg/kg,,,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828E1,8,8.5,Benzo(a)Pyrene,0.004,mg/kg,U,U,N,N,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828E1,8,8.5,Benzene,0.0006,mg/kg,U,U,N,N,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828E1,8,8.5,Lead,10.3,mg/kg,,,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2828,S2828E1,8,8.5,Arsenic,3.01,mg/kg,,,N,Y,7.09,10/25/2012,SOIL,N,REG,Example Area
S2905,S2905A4,1.5,2,Lead,889,mg/kg,,,N,Y,6,10/10/2012,SOIL,N,REG,Example Area
S2905,S2905A4,1.5,2,Arsenic,8.93,mg/kg,,,N,Y,6,10/10/2012,SOIL,N,REG,Example Area
S2980,S2980A2,0.5,1,Lead,10100,mg/kg,,,N,Y,7.7,9/11/2012,SOIL,N,REG,Example Area
S2980,S2980A2,0.5,1,Lead,93500,ug/l,,,Y,Y,7.7,9/11/2012,SOIL,N,REG,Example Area
S2980,S2980T,,,Lead,14100,mg/kg,,,N,Y,7.7,9/10/2014,SOIL,N,REG,Example Area
S2980,S2980T,,,Lead,111000,ug/l,,,Y,Y,7.7,9/10/2014,SOIL,N,REG,Example Area
S2980,S2980TL,,,Lead,12700,mg/kg,,,N,Y,7.7,9/11/2014,SOIL,N,REG,Example Area
S2980,S2980TL,,,Lead,128000,ug/l,,,Y,Y,7.7,9/11/2014,SOIL,N,REG,Example Area
S2980,S2980TL2,,,Lead,4190,ug/l,,,Y,Y,7.7,9/11/2014,SOIL,N,REG,Example Area
S2981,S2981A2,0.5,1,Lead,238,mg/kg,,,N,Y,7.9,9/11/2012,SOIL,N,REG,Example Area
S2982,S2982A3,1,1.5,Lead,115,mg/kg,,,N,Y,7.6,9/10/2012,SOIL,N,REG,Example Area
S2987,S2987A2,0.5,1,Lead,11300,mg/kg,,,N,Y,6,9/12/2012,SOIL,N,REG,Example Area
S2987,S2987A2,0.5,1,Lead,3840,ug/l,,,Y,Y,6,9/12/2012,SOIL,N,REG,Example Area
S2987,S2987A2,0.5,1,Tetraethyl-lead,0.48,mg/kg,U,U,N,N,6,9/12/2012,SOIL,N,REG,Example Area
S2987,S2987B4,3.5,4,Lead,163,mg/kg,,,N,Y,6,9/12/2012,SOIL,N,REG,Example Area
S2987,S2987B4,3.5,4,Lead,139,ug/l,,,Y,Y,6,9/12/2012,SOIL,N,REG,Example Area
S2988,S2988A1,0,0.5,Lead,1430,mg/kg,,,N,Y,6.4,9/12/2012,SOIL,N,REG,Example Area
S2988,S2988A1,0,0.5,Lead,3150,ug/l,,,Y,Y,6.4,9/12/2012,SOIL,N,REG,Example Area
S2988,S2988A1,0,0.5,Tetraethyl-lead,0.43,mg/kg,U,U,N,N,6.4,9/12/2012,SOIL,N,REG,Example Area
S2988,S2988B1,2,2.5,Lead,945,mg/kg,,,N,Y,6.4,9/12/2012,SOIL,N,REG,Example Area
S2988,S2988B1,2,2.5,Lead,1780,ug/l,,,Y,Y,6.4,9/12/2012,SOIL,N,REG,Example Area
S2988,S2988B1,2,2.5,Tetraethyl-lead,0.39,mg/kg,U,U,N,N,6.4,9/12/2012,SOIL,N,REG,Example Area
S2988,S2988B2,2.5,3,Lead,594,mg/kg,,,N,Y,6.4,9/12/2012,SOIL,N,REG,Example Area
S2989,S2989A2,0.5,1,Lead,972,mg/kg,,,N,Y,7.2,9/13/2012,SOIL,N,REG,Example Area
S2989,S2989A2,0.5,1,Lead,3600,ug/l,,,Y,Y,7.2,9/13/2012,SOIL,N,REG,Example Area
S2990,S2990A3,1,1.5,Lead,299,mg/kg,,,N,Y,7.98,9/11/2012,SOIL,N,REG,Example Area
S2991,S2991A3,1,1.5,Lead,2090,mg/kg,,,N,Y,7.88,9/11/2012,SOIL,N,REG,Example Area
S2991,S2991A3,1,1.5,Lead,6400,ug/l,,,Y,Y,7.88,9/11/2012,SOIL,N,REG,Example Area
S2992,S2992A4,1.5,2,Lead,1620,mg/kg,,J,N,Y,7.12,9/13/2012,SOIL,N,REG,Example Area
S2992,S2992A4,1.5,2,Lead,2800,ug/l,,,Y,Y,7.12,9/13/2012,SOIL,N,REG,Example Area
S2992,D0913123,1.5,2,Lead,112,mg/kg,,,N,Y,7.12,9/13/2012,SOIL,N,FD,Example Area
S2993,S2993A1,0,0.5,Lead,9890,mg/kg,,,N,Y,6.58,9/18/2012,SOIL,N,REG,Example Area
S2993,S2993A1,0,0.5,Lead,51000,ug/l,,,Y,Y,6.58,9/18/2012,SOIL,N,REG,Example Area
S2994,S2994A1,0,0.5,Lead,490,mg/kg,,J,N,Y,7.01,9/18/2012,SOIL,N,REG,Example Area
S2994,D0918123,0,0.5,Lead,1140,mg/kg,,,N,Y,7.01,9/18/2012,SOIL,N,FD,Example Area
S2995,S2995A1,0,0.5,Lead,1370,mg/kg,,,N,Y,6.42,9/19/2012,SOIL,N,REG,Example Area
S2995,S2995B1,2,2.5,Lead,1470,mg/kg,,,N,Y,6.42,9/19/2012,SOIL,N,REG,Example Area
S2995,S2995B1,2,2.5,Lead,4970,ug/l,,,Y,Y,6.42,9/19/2012,SOIL,N,REG,Example Area
S2996,S2996A2,0.5,1,Lead,8280,mg/kg,,,N,Y,7,9/19/2012,SOIL,N,SP,Example Area
S2996,S2996A2,0.5,1,Lead,15400,ug/l,,,Y,Y,7,9/19/2012,SOIL,N,SP,Example Area
S2996,S2996A2,0.5,1,Tetraethyl-lead,0.22,mg/kg,U,U,N,N,7,9/19/2012,SOIL,N,SP,Example Area
S2996,S2996B2,2.5,3,Lead,17.5,mg/kg,,,N,Y,7,9/19/2012,SOIL,N,SP,Example Area
S2996,S2996R1A1PRE,,,Lead,15200,mg/kg,,J+,N,Y,7,9/23/2013,SOIL,N,SP,Example Area
S2996,S2996R1A1PRE,,,Lead,8640,ug/l,,,Y,Y,7,9/23/2013,SOIL,N,SP,Example Area
S2996,S2996R1A1PRE,,,Lead,138000,ug/l,,,Y,Y,7,9/23/2013,SOIL,N,SP,Example Area
S2996,S2996-2K-2%EB-TS,,,Lead,130,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-2K-2%EB-TS,,,Lead,4.7,ug/l,U,U,Y,N,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-2K-PPE,,,Lead,2990,mg/kg,,,N,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-2K-PPE,,,Lead,7700,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-2K-PPE,,,Lead,68.8,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-3.5K-2%EB-TS,,,Lead,41600,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-3.5K-2%EB-TS,,,Lead,4.7,ug/l,U,U,Y,N,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-3.5K-PRE,,,Lead,7820,mg/kg,,,N,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-3.5K-PRE,,,Lead,48400,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-3.5K-PRE,,,Lead,5700,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-8K-2%EB-TS,,,Lead,2660,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-8K-2%EB-TS,,,Lead,52.4,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-8K-PRE,,,Lead,8640,mg/kg,,,N,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-8K-PRE,,,Lead,103000,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996-8K-PRE,,,Lead,10300,ug/l,,,Y,Y,7,9/25/2013,SOIL,N,SP,Example Area
S2996,S2996R1-3.5K-2%EB-TS,,,Lead,4.7,ug/l,U,U,Y,N,7,10/9/2013,SOIL,N,SP,Example Area
S2996,S2996R1-3.5K-2%EB-TS,,,Lead,20.9,ug/l,,,Y,Y,7,10/9/2013,SOIL,N,SP,Example Area
S2996,S2996R1-3.5K-PRE-TS,,,Lead,4970,mg/kg,,J+,N,Y,7,10/9/2013,SOIL,N,SP,Example Area
S2996,S2996R1-3.5K-PRE-TS,,,Lead,50.9,ug/l,,,Y,Y,7,10/9/2013,SOIL,N,SP,Example Area
S2996,S2996R1-3.5K-PRE-TS,,,Lead,20700,ug/l,,,Y,Y,7,10/9/2013,SOIL,N,SP,Example Area
S2997,S2997A1,0,0.5,Lead,158,mg/kg,,,N,Y,6.9,9/19/2012,SOIL,N,REG,Example Area
S2998,S2998A2,0.5,1,Lead,2960,mg/kg,,,N,Y,7,9/19/2012,SOIL,N,REG,Example Area
S2998,S2998A2,0.5,1,Lead,11700,ug/l,,,Y,Y,7,9/19/2012,SOIL,N,REG,Example Area
S2998,S2998B2,2.5,3,Lead,1540,mg/kg,,,N,Y,7,9/19/2012,SOIL,N,REG,Example Area
S3971,D1202148A,,,Benzene,0.037,mg/kg,J,J,N,Y,5.8,12/2/2014,SOIL,N,FD,Example Area
S3971,S3971B3,3,3.5,Benzene,0.043,mg/kg,J,J,N,Y,5.8,12/2/2014,SOIL,N,REG,Example Area
S3973,S3973B2,2.5,3,Benzene,0.003,mg/kg,J,J,N,Y,9.8,1/30/2014,SOIL,N,REG,Example Area
S3973,S3973B4,3.5,4,Benzene,3.2,mg/kg,,J,N,Y,9.8,1/30/2014,SOIL,N,REG,Example Area
S3973,S3973C4,5.5,6,Benzene,3.2,mg/kg,J,J,N,Y,9.8,1/30/2014,SOIL,N,REG,Example Area
S3973,S3973E3,9,9.5,Benzene,0.001,mg/kg,J,J,N,Y,9.8,1/30/2014,SOIL,N,REG,Example Area
S3977,S3977B1,2,2.5,Benzene,0.003,mg/kg,J,J,N,Y,9.3,1/30/2014,SOIL,N,REG,Example Area
S3977,S3977C1,4,4.5,Benzene,0.003,mg/kg,J,J,N,Y,9.3,1/30/2014,SOIL,N,REG,Example Area
S3977,S3977D1,6,6.5,Benzene,0.25,mg/kg,J,J,N,Y,9.3,1/30/2014,SOIL,N,REG,Example Area
S3977,S3977E1,8,8.5,Benzene,0.0008,mg/kg,J,J,N,Y,9.3,1/30/2014,SOIL,N,REG,Example Area
S3978,S3978A1,0,0.5,Benzene,0.005,mg/kg,J,J,N,Y,7,12/1/2014,SOIL,N,REG,Example Area
S3978,S3978A3,1,1.5,Benzene,2,mg/kg,,J,N,Y,7,12/1/2014,SOIL,N,REG,Example Area
S3978,S3978B2,,,Benzene,0.2,mg/kg,J,J,N,Y,7,12/1/2014,SOIL,N,REG,Example Area
S3978,D1201148,,,Benzene,1.2,mg/kg,,J,N,Y,7,12/1/2014,SOIL,N,FD,Example Area
S3979,S3979A1,0,0.5,Benzene,0.037,mg/kg,U,UJ,N,N,7.1,12/1/2014,SOIL,N,REG,Example Area
S3979,S3979A4,1.5,2,Benzene,1.7,mg/kg,,J,N,Y,7.1,12/1/2014,SOIL,N,REG,Example Area
S3979,S3979B3,3,3.5,Benzene,0.027,mg/kg,J,J,N,Y,7.1,12/1/2014,SOIL,N,REG,Example Area
S4253,S4253C1,4,4.5,Arsenic,50.6,mg/kg,,,N,Y,11,3/18/2014,SOIL,N,REG,Example Area
S4253,S4253C1,4,4.5,Arsenic,56.7,ug/l,,,Y,Y,11,3/18/2014,SOIL,N,REG,Example Area
S4254,S4254B1,2,2.5,Arsenic,19.6,mg/kg,,J,N,Y,11.3,3/17/2014,SOIL,N,REG,Example Area
S4254,S4254B1,2,2.5,Arsenic,53.9,ug/l,,,Y,Y,11.3,3/17/2014,SOIL,N,REG,Example Area
S4255,S4255A4,1.5,2,Arsenic,9.14,mg/kg,,,N,Y,10.9,3/17/2014,SOIL,N,REG,Example Area
S4255,S4255A4,1.5,2,Arsenic,17.7,ug/l,,,Y,Y,10.9,3/17/2014,SOIL,N,REG,Example Area
S4408,S4408A1,0,0.5,Lead,20900,mg/kg,,,N,Y,7.6,5/14/2014,SOIL,N,REG,Example Area
S4408,S4408A1,0,0.5,Lead,393000,ug/l,,,Y,Y,7.6,5/14/2014,SOIL,N,REG,Example Area
S4408,S4408A1,0,0.5,Arsenic,5.39,mg/kg,,,N,Y,7.6,5/14/2014,SOIL,N,REG,Example Area
S4408,S4408A4,1.5,2,Lead,17.1,mg/kg,,,N,Y,7.6,5/14/2014,SOIL,N,REG,Example Area
S4408,S4408T,,,Lead,28400,mg/kg,,,N,Y,7.6,9/10/2014,SOIL,N,REG,Example Area
S4408,S4408T,,,Lead,391000,ug/l,,,Y,Y,7.6,9/10/2014,SOIL,N,REG,Example Area
S4408,S4408TL,,,Lead,29800,mg/kg,,,N,Y,7.6,9/11/2014,SOIL,N,REG,Example Area
S4408,S4408TL,,,Lead,349000,ug/l,,,Y,Y,7.6,9/11/2014,SOIL,N,REG,Example Area
S4408,S4408TL2,,,Lead,101000,ug/l,,,Y,Y,7.6,9/11/2014,SOIL,N,REG,Example Area
S4408,S4408TL4,,,Lead,450,ug/l,,,Y,Y,7.6,9/11/2014,SOIL,N,REG,Example Area
S4409,S4409A1,0,0.5,Lead,1460,mg/kg,,,N,Y,7.8,5/14/2014,SOIL,N,REG,Example Area
S4409,S4409A1,0,0.5,Lead,731,ug/l,,,Y,Y,7.8,5/14/2014,SOIL,N,REG,Example Area
S4409,S4409A1,0,0.5,Arsenic,14.3,mg/kg,,,N,Y,7.8,5/14/2014,SOIL,N,REG,Example Area
S4409,S4409A4,1.5,2,Lead,12.2,mg/kg,,,N,Y,7.8,5/14/2014,SOIL,N,REG,Example Area
S4410,S4410B3,3,3.5,Lead,367,mg/kg,,,N,Y,11,5/15/2014,SOIL,N,REG,Example Area
S4410,S4410D1,6,6.5,Lead,59.3,mg/kg,,,N,Y,11,5/15/2014,SOIL,N,REG,Example Area
S4410,S4410F1,10,10.5,Tetraethyl-lead,0.043,mg/kg,U,U,N,N,11,5/15/2014,SOIL,N,REG,Example Area
S4410,S4410R1C1,4,4.5,Lead,1170,mg/kg,,,N,Y,11,5/15/2014,SOIL,N,RE,Example Area
S4410,S4410R1C1,4,4.5,Lead,5010,ug/l,,,Y,Y,11,5/15/2014,SOIL,N,RE,Example Area
S4410,S4410R1C1,4,4.5,Arsenic,93.4,mg/kg,,,N,Y,11,5/15/2014,SOIL,N,RE,Example Area
S4411,S4411A1,0,0.5,Lead,41000,mg/kg,,,N,Y,7.6,5/15/2014,SOIL,N,REG,Example Area
