,S0776,S0791,S0792,S0793,S0794,S1006,S1007,S1008,S2140,S2141,S2142,S2143,S2144,S2145,S2180,S2210,S2212,S2221,S2222,S2223,S2436,S2437,S2440,S2441,S2445,S2447,S2449,S2450,S2552,S2553,S2554,S2555,S2556,S2557,S2603,S2604,S2605,S2661,S2662,S2663,S2664,S2665,S2666,S2667,S2668,S2669,S2670,S2671,S2672,S2673,S2729,S2827,S2828,S2905,S2980,S2981,S2982,S2987,S2988,S2989,S2990,S2991,S2992,S2993,S2994,S2995,S2996,S2997,S2998,S4408,S4409,S4410,S4411,S4412,S4413,S4414,S4455,S4456,S4502,S4503,S4504,S4505,S4506,S4507,S4518,S4519,S4520,S4534,SB-0040
3.5 to 3.0,,17.5 ,,,6020 ,,,,,,6250 ,4680 ,,,,,,,,,,781 ,,,,,,,,,,106 ,,,,,,,,,,,,,,58.3 ,42.7 ,,,,,,,,,,,,594 ,,,,,,,,,,,,,,,699 J,2530 J,55.1 ,,,43.2 ,,,59.4 ,,,,13900 ,35.4 J,712 ,3030 
3.0 to 2.5,,,,,6020 ,,,1560 ,,108 ,6250 ,,42.5 ,,,,,,,,,781 ,,,,,,,,,,,,,,13.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1 J,,40.3 ,,43.2 ,418 ,,59.4 ,,,,,149 J,15.4 ,3030 
2.5 to 2.0,,,,,,1780 ,225 ,1560 ,,108 ,,,42.5 ,,,,,108 ,,,,,,2150 ,,,,,,,,,,,16.5 ,13.4 ,,,,,,,,,,,,,,,61.5 ,,,,,,,163 ,,,,,,,,,,,,,,,,802 J,22.1 J,,40.3 ,,,418 ,,,,,,,149 J,15.4 ,3030 
2.0 to 1.5,8.94 ,,,2080 ,,1780 ,225 ,,,,,,,,,,,108 ,401 ,,,,,2150 ,,,250 ,,,,,,,,16.5 ,,,,35.1 ,,48.4 ,,,,,,,,,,61.5 ,11.4 ,,,,,,163 ,,,,,,,,,,,,,,,,802 J,,,,,,,,,,,,330 J,,,3030 
1.5 to 1.0,8.94 ,,67.7 ,2080 ,,,,,,,,,,106 ,,,,,401 ,,2100 ,,,,,,250 ,,,,,,,,,,,,35.1 ,,48.4 ,,,,,,,,,,125 ,11.4 ,,,,,,,,,,,,,,,,,,,,,,72.7 J,,,,,,,,,,,,330 J,,,
1.0 to 0.5,,,67.7 ,,,,,,,,,,,106 ,,,,,,,2100 ,,,,,24.9 ,,,11.8 ,,,20 ,,14 ,,,8.13 ,,,,,,,,,,,,,,125 ,,,,,,,,,,,,,,,,,,,,,,,72.7 J,,,,,,,,,,,,,,,
0.5 to 0.0,,,,,,,,,3520 ,8.76 ,,,,,,,,,,,,,,,,24.9 ,,,11.8 ,,,20 ,,14 ,,,8.13 ,143 ,,162 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3 ,,,,,,,,,,,,
0.0 to -0.5,16.7 ,,,,,,,,3520 ,8.76 ,,,19.8 ,,,,,,,,,,198 ,,42.8 ,,,,,,,,,,,,,143 ,,162 ,,,,,,,,,14.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3 ,,,,,,,,,,,,
-0.5 to -1.0,16.7 ,,,,,,,,,,,304 ,19.8 ,,,,,,,,,,198 ,253 ,42.8 ,,,,,,27.4 ,,,,,,,,,,,,,,,16.9 ,,,14.4 ,9.58 ,,,10.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0 to -1.5,,,,,,,,,,,,304 ,,,,,,,,,368 ,,,253 ,,,,,,,27.4 ,,,,,,,8.84 ,,,,,,,,16.9 ,,15.5 ,,9.58 ,,,10.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
